"courseID","course_title","id","value","name","full_name","semester","document","school","instructor","section","keyword","goal","color","course_desc","text","department","N.Sections","year","course_level","total_enrolled","all_semesters","all_keywords","all_goals","sustainability_classification","freq"
"SOCI-169","Changing Family Forms",25,"Category VI","Social Issues","Category VI - Social Issues","F23",34656,"Dana and David Dornsife College of Letters, Arts and Sciences","Hook, Jennifer, Lynn",61430,"family",1,"#E5243B","Changing Family Forms - The peculiarity of the ""modern"" Western family system in historical and cross-cultural perspective; focus on the ""postmodern"" family crisis in the United States.","changing family forms   the peculiarity of the  modern  western family system in historical and cross cultural perspective  focus on the  postmodern  family crisis in the united states ","SOCI",5,"AY24","undergrad lower division",0,"F20, SP21, SU21, F21, SP22, SU22, SP23, SU23, F23","crisis,family,cultural","1,10,16","SDG-Related",3
"SOCI-169","Changing Family Forms",25,"Category VI","Social Issues","Category VI - Social Issues","F23",34656,"Dana and David Dornsife College of Letters, Arts and Sciences","Hook, Jennifer, Lynn",61430,"cultural",10,"#DD1367","Changing Family Forms - The peculiarity of the ""modern"" Western family system in historical and cross-cultural perspective; focus on the ""postmodern"" family crisis in the United States.","changing family forms   the peculiarity of the  modern  western family system in historical and cross cultural perspective  focus on the  postmodern  family crisis in the united states ","SOCI",5,"AY24","undergrad lower division",0,"F20, SP21, SU21, F21, SP22, SU22, SP23, SU23, F23","crisis,family,cultural","1,10,16","SDG-Related",1
"SOCI-169","Changing Family Forms",25,"Category VI","Social Issues","Category VI - Social Issues","F23",34656,"Dana and David Dornsife College of Letters, Arts and Sciences","Hook, Jennifer, Lynn",61430,"crisis",16,"#00689D","Changing Family Forms - The peculiarity of the ""modern"" Western family system in historical and cross-cultural perspective; focus on the ""postmodern"" family crisis in the United States.","changing family forms   the peculiarity of the  modern  western family system in historical and cross cultural perspective  focus on the  postmodern  family crisis in the united states ","SOCI",5,"AY24","undergrad lower division",0,"F20, SP21, SU21, F21, SP22, SU22, SP23, SU23, F23","crisis,family,cultural","1,10,16","SDG-Related",1
"SOCI-169","Changing Family Forms",25,"Category VI","Social Issues","Category VI - Social Issues","F23",34656,"Dana and David Dornsife College of Letters, Arts and Sciences","Hook, Jennifer, Lynn",61430,"crisis",10,"#DD1367","Changing Family Forms - The peculiarity of the ""modern"" Western family system in historical and cross-cultural perspective; focus on the ""postmodern"" family crisis in the United States.","changing family forms   the peculiarity of the  modern  western family system in historical and cross cultural perspective  focus on the  postmodern  family crisis in the united states ","SOCI",5,"AY24","undergrad lower division",0,"F20, SP21, SU21, F21, SP22, SU22, SP23, SU23, F23","crisis,family,cultural","1,10,16","SDG-Related",1
"SOCI-200","Introduction to Sociology",32,"C","Social Analysis","C - Social Analysis","F23",34664,"Dana and David Dornsife College of Letters, Arts and Sciences","Mc Gene, Juliana",61440,"social institutions",1,"#E5243B","Introduction to Sociology - Basic concepts of sociology with special reference to group life,social institutions, and social processes.","introduction to sociology   basic concepts of sociology with special reference to group life social institutions  and social processes ","SOCI",7,"AY24","undergrad lower division",0,"F20, SP21, SU21, F21, SP22, SU22, F22, SP23, SU23, F23","social institutions","1","SDG-Related",1
"SOCI-210","Science, Technology, and Social Conflict",25,"Category VI","Social Issues","Category VI - Social Issues","SP23",34677,"Dana and David Dornsife College of Letters, Arts and Sciences","Lainer-Vos, Dan ",61445,"technology",9,"#FD6925","Science, Technology, and Social Conflict - Science and technology change society and how we understand ourselves. In turn, social struggles influence science. We will explore the interplay between these forces. ","science  technology  and social conflict   science and technology change society and how we understand ourselves  in turn  social struggles influence science  we will explore the interplay between these forces  ","SOCI",3,"AY23","undergrad lower division",0,"SP21, SP22, F22, SP23","technology","9","SDG-Related",2
"SOCI-210","Science, Technology, and Social Conflict",32,"C","Social Analysis","C - Social Analysis","SP23",34677,"Dana and David Dornsife College of Letters, Arts and Sciences","Lainer-Vos, Dan ",61445,"technology",9,"#FD6925","Science, Technology, and Social Conflict - Science and technology change society and how we understand ourselves. In turn, social struggles influence science. We will explore the interplay between these forces. ","science  technology  and social conflict   science and technology change society and how we understand ourselves  in turn  social struggles influence science  we will explore the interplay between these forces  ","SOCI",3,"AY23","undergrad lower division",0,"SP21, SP22, F22, SP23","technology","9","SDG-Related",2
"SOCI-235","Migration, Law and Society",32,"C","Social Analysis","C - Social Analysis","F23",34680,"Dana and David Dornsife College of Letters, Arts and Sciences","Del Real, Deisy",61521,"migration",10,"#DD1367","Migration, Law and Society - Migration policies worldwide are negotiated by different stakeholders and create different contexts of reception that differently impact the everyday lives and livelihoods of migrants.","migration  law and society   migration policies worldwide are negotiated by different stakeholders and create different contexts of reception that differently impact the everyday lives and livelihoods of migrants ","SOCI",1,"AY24","undergrad lower division",0,"SP22, SP23, F23","law,migrants,policies,migration","10,16","SDG-Related",2
"SOCI-235","Migration, Law and Society",32,"C","Social Analysis","C - Social Analysis","F23",34680,"Dana and David Dornsife College of Letters, Arts and Sciences","Del Real, Deisy",61521,"law",16,"#00689D","Migration, Law and Society - Migration policies worldwide are negotiated by different stakeholders and create different contexts of reception that differently impact the everyday lives and livelihoods of migrants.","migration  law and society   migration policies worldwide are negotiated by different stakeholders and create different contexts of reception that differently impact the everyday lives and livelihoods of migrants ","SOCI",1,"AY24","undergrad lower division",0,"SP22, SP23, F23","law,migrants,policies,migration","10,16","SDG-Related",1
"SOCI-235","Migration, Law and Society",32,"C","Social Analysis","C - Social Analysis","F23",34680,"Dana and David Dornsife College of Letters, Arts and Sciences","Del Real, Deisy",61521,"migrants",10,"#DD1367","Migration, Law and Society - Migration policies worldwide are negotiated by different stakeholders and create different contexts of reception that differently impact the everyday lives and livelihoods of migrants.","migration  law and society   migration policies worldwide are negotiated by different stakeholders and create different contexts of reception that differently impact the everyday lives and livelihoods of migrants ","SOCI",1,"AY24","undergrad lower division",0,"SP22, SP23, F23","law,migrants,policies,migration","10,16","SDG-Related",1
