"","classes","sdg1_weight","sdg2_weight","sdg3_weight","sdg4_weight","sdg5_weight","sdg6_weight","sdg7_weight","sdg8_weight","sdg9_weight","sdg10_weight","sdg11_weight","sdg12_weight","sdg13_weight","sdg14_weight","sdg15_weight","sdg16_weight","sdg17_weight","total_weight"
"3699","PHIL-254",NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4
"3700","PHIL-256",NA,NA,NA,0.4,0.94,NA,NA,1.39,0.28,0.88,NA,NA,NA,NA,NA,0.49,NA,4.38
"3701","PHIL-258",NA,NA,NA,NA,NA,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA,0.28
"3702","PHIL-260",NA,NA,NA,NA,0.53,NA,NA,NA,0.28,NA,NA,0.29,NA,NA,0.07,0.79,NA,1.96
"3703","PHIL-284",0.9,NA,NA,NA,NA,NA,NA,NA,0.35,NA,0.65,NA,NA,NA,NA,NA,NA,1.9
"3704","PHIL-315",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22,NA,NA,NA,NA,NA,NA,1.22
"3705","PHIL-320",NA,NA,NA,NA,NA,NA,NA,0.59,0.7,NA,0.57,NA,NA,NA,NA,NA,1,2.86
"3706","PHIL-337",NA,NA,NA,NA,NA,NA,NA,NA,0.28,NA,0.57,0.29,NA,NA,0.07,1.03,NA,2.24
"3707","PHIL-340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"3708","PHIL-350",NA,NA,NA,0.4,NA,NA,NA,NA,0.76,NA,NA,NA,NA,NA,NA,NA,NA,1.16
"3709","PHIL-360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3710","PHIL-361",NA,NA,NA,0.47,1.47,NA,NA,NA,NA,0.44,NA,NA,NA,NA,NA,1.28,NA,3.66
"3711","PHIL-362",NA,NA,NA,NA,NA,NA,NA,NA,0.42,NA,NA,NA,NA,NA,NA,NA,NA,0.42
"3712","PHIL-411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"3713","PHIL-423",NA,NA,NA,NA,NA,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA,1,1.28
"3714","PHIL-430",NA,NA,NA,NA,0.53,NA,NA,NA,0.35,NA,NA,0.09,NA,NA,0.43,0.89,NA,2.29
"3715","PHIL-440",NA,NA,NA,NA,NA,NA,NA,NA,0.35,0.59,NA,0.29,NA,NA,0.07,2.33,NA,3.63
"3716","PHIL-442",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.29,NA,NA,NA,NA,NA,1,2.29
"3717","PHIL-445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,NA,NA,0.43
"3718","PHIL-450",NA,NA,NA,NA,NA,NA,NA,NA,0.62,NA,NA,NA,NA,NA,NA,NA,1,1.62
"3719","PHIL-452",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3720","PHIL-460",NA,NA,NA,NA,0.35,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0.7
"3721","PHIL-462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,NA,NA,0.14,NA,NA,0.28
"3722","PHIL-463",NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0.35
"3723","PHIL-465",NA,NA,NA,0.47,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,0.43,NA,NA,1.25
"3724","PHIL-500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3725","PHIL-501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"3726","PHIL-503",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3727","PHIL-537",1.03,NA,NA,NA,NA,NA,NA,NA,0.35,0.59,NA,NA,NA,NA,0.43,3.36,1,6.76
"3728","PHIL-560",NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,1,1.35
"3729","PHIL-570",NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,1,1.35
"3730","PHIL-589",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
"3731","PHIL-590",NA,NA,NA,NA,NA,NA,NA,NA,0.48,NA,NA,NA,NA,NA,NA,NA,1,1.48
"3732","PHIL-593",NA,NA,NA,0.4,NA,NA,NA,0.59,0.42,NA,NA,NA,NA,NA,NA,NA,1,2.41
"3733","PHIL-700",0.05,NA,NA,NA,NA,NA,NA,0.57,0.49,NA,NA,0.72,NA,NA,0.57,NA,2,4.4
"3734","PHYS-100",NA,NA,NA,NA,NA,NA,NA,1.39,0.55,0.44,NA,NA,NA,NA,NA,NA,NA,2.38
"3735","PHYS-125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3736","PHYS-135A",NA,NA,NA,NA,NA,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA,0.28
"3737","PHYS-135B",NA,NA,NA,NA,NA,NA,NA,1.39,0.28,0.44,NA,NA,NA,NA,NA,NA,NA,2.11
"3738","PHYS-151",NA,0.57,NA,NA,NA,0.34,NA,0.66,0.28,NA,NA,1,0.38,3.15,13.36,NA,NA,19.74
"3739","PHYS-152",NA,NA,NA,NA,NA,0.67,1.97,NA,0.63,NA,0.41,NA,0.45,NA,NA,NA,NA,4.13
"3740","PHYS-153",NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,0.7
"3741","PHYS-161",NA,0.57,NA,NA,NA,0.34,NA,0.66,0.63,NA,NA,1,0.38,3.15,13.36,NA,NA,20.09
"3742","PHYS-162",NA,NA,NA,NA,NA,NA,1.69,NA,0.7,NA,0.41,NA,NA,NA,NA,NA,NA,2.8
"3743","PHYS-163",NA,NA,NA,NA,NA,NA,0.76,NA,0.35,NA,0.41,NA,0.38,NA,NA,NA,NA,1.9
"3744","PHYS-171",NA,NA,NA,NA,NA,NA,NA,NA,1.24,NA,0.41,NA,NA,NA,NA,NA,NA,1.65
"3745","PHYS-190",NA,NA,NA,0.33,NA,NA,NA,NA,NA,NA,0.24,NA,NA,NA,NA,NA,1,1.57
"3746","PHYS-200",NA,0.36,NA,NA,NA,NA,7.72,2.54,8.05,0.44,NA,NA,2.24,NA,NA,NA,1,22.35
"3747","PHYS-304",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3748","PHYS-316",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91,NA,NA,NA,NA,NA,NA,0.91
"3749","PHYS-408A",NA,NA,NA,NA,NA,1.27,1.97,NA,0.56,NA,NA,0.36,0.45,NA,NA,NA,NA,4.61
"3750","PHYS-408B",NA,NA,NA,NA,NA,0.67,1.97,NA,0.28,NA,NA,NA,0.45,NA,NA,NA,NA,3.37
"3751","PHYS-438A",NA,NA,NA,NA,NA,NA,6.58,NA,0.35,NA,NA,NA,1.34,NA,NA,NA,NA,8.27
"3752","PHYS-438B",NA,NA,NA,NA,NA,NA,0.76,NA,NA,NA,NA,NA,0.38,NA,NA,NA,NA,1.14
